"marque","produit","pays_marche","format","classement","macro_categorie","base_reelle","actifs_principaux","dose_portion","cafeine_portion","prix_observe_2026_08_01","disponibilite_france","affiliation_ou_contact","source_officielle","statut_verification","notes","date_derniere_verification","statut_commercial_actuel","etat_source_officielle","experience_boisson","origine_cafe","nombre_portions","poids_conditionnement","cafeine_mg_min","cafeine_mg_max","niveau_cafeine","champignons_standardises","nombre_champignons","partie_champignon","methode_extraction_infusion","proteines_g","collagene_g","creatine_g","mct_g","sucres_edulcorants","allergenes_regime","preparation","prix_par_portion_observe","transparence_dosage","preuve_laboratoire","promesse_principale","priorite_seo","risque_editorial","source_secondaire","changements_2026_08_01"
"London Nootropics","Flow","Royaume-Uni","sachets instantanés","Café aux champignons et plantes","2 — Cafés artificiellement enrichis","café soluble","Lion's Mane Hifas da Terra 250 mg; Rhodiola RhodioLife 83 mg","sachet individuel","80 à 110 mg selon gamme","15 £ / 12; 60 £ / 60; 200 £ / 240","à confirmer","programme public non identifié","https://londonnootropics.com/collections/adaptogenic-coffee","A","Fabriqué au Royaume-Uni; tests tiers annoncés.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","80","110","élevée (> 100 mg)","Lion's Mane","1","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"London Nootropics","Zen","Royaume-Uni","sachets instantanés","Café aux plantes/nootropiques","2 — Cafés artificiellement enrichis","café soluble avec 6 % café torréfié moulu","L-théanine 153 mg; KSM-66 Ashwagandha 110 mg","sachet individuel","80 à 110 mg selon gamme","15 £ / 12; 60 £ / 60; 200 £ / 240","à confirmer","programme public non identifié","https://londonnootropics.com/collections/adaptogenic-coffee","A","Formule calme/focus distincte.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","80","110","élevée (> 100 mg)","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","focus / cognition","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"London Nootropics","Mojo","Royaume-Uni","sachets instantanés","Café aux champignons et plantes","2 — Cafés artificiellement enrichis","café soluble","Cordyceps Hifas da Terra 305 mg; ginseng sibérien 102 mg","sachet individuel","80 à 110 mg selon gamme","15 £ / 12; 60 £ / 60; 200 £ / 240","à confirmer","programme public non identifié","https://londonnootropics.com/collections/adaptogenic-coffee","A","Formule énergie distincte.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","80","110","élevée (> 100 mg)","Cordyceps","1","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"London Nootropics","Mush Love","Royaume-Uni","sachets instantanés","Café aux champignons","2 — Cafés artificiellement enrichis","café soluble","Lion's Mane 160 mg; Cordyceps 160 mg; Chaga 160 mg","sachet individuel","80 à 110 mg selon gamme","15 £ / 12; 60 £ / 60; 200 £ / 240","à confirmer","programme public non identifié","https://londonnootropics.com/collections/adaptogenic-coffee","A","Formule multi-champignons distincte.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","80","110","élevée (> 100 mg)","Lion's Mane; Chaga; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"DIRTEA","Mushroom Coffee","Royaume-Uni","poudre instantanée","Café aux champignons et vitamines","2 — Cafés artificiellement enrichis","100 % Arabica","Lion's Mane 1 000 mg; vitamines B","150 g; 60 portions","50 mg","38 £ ponctuel; 31 £ abonnement","à confirmer","programme public non identifié","https://www.dirteaworld.com/products/mushroom-coffee-super-blend","A","Une des formules UK les mieux documentées.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","60","non publié","50","50","faible (≤ 50 mg)","Lion's Mane","1","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"GoMush","Organic Mushroom Coffee Pods with Chaga","Royaume-Uni","capsules compatibles Nespresso","Café aux champignons en capsule","2 — Cafés artificiellement enrichis","Arabica Fairtrade torréfié","Chaga bio annoncé","10 capsules","non publié","13,99 £; actuellement épuisé","à confirmer","programme public non identifié","https://gomush.co.uk/","B","La même page affiche 'Lion's Mane extract 5 g' dans les données nutritionnelles: erreur ou page mélangée.","2026-08-01","rupture ou disponibilité incertaine","source officielle accessible et revérifiée","café en capsule","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","machine compatible avec la capsule","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Ancient + Brave","Coffee + Collagen","Royaume-Uni","café moulu très fin","Café collagène et plantes","2 — Cafés artificiellement enrichis","café bio Santos brésilien","collagène bovin; Ashwagandha; cacao; chicorée; baobab","10 g; 2 g collagène; 200 mg Ashwagandha; environ 25 portions","non publié","24 £ ponctuel; 19,20 £ abonnement","à confirmer","programme public non identifié","https://ancientandbrave.earth/products/coffee-collagen","A","Nécessite cafetière; ce n'est pas une poudre instantanée.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café à préparer (goût café)","Brésil","25","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","2 g","non publié","non publié","non publié","non végétalien (bovin)","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","élevée","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Collafé","Collagen Coffee Madagascan Vanilla","Royaume-Uni","poudre instantanée","Café collagène","2 — Cafés artificiellement enrichis","café Arabica instantané","collagène marin; collagène bovin; UC-II; MCT; crème de coco","22 g; 30 portions; 7 g collagène marin; 3 g collagène bovin; 40 mg UC-II","environ 90 mg","54,99 £ / 30 portions","à confirmer","programme public non identifié","https://collafe.com/","A","Préparer avec une eau à 60–70 °C selon la marque; contient poisson et collagène bovin.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","90","90","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","non publié","10 g + 40 mg UC-II","non publié","non publié","non publié","contient poisson; non végétalien (bovin)","diluer dans une eau à 60–70 °C","1,83 £ / portion","élevée","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","non publiée","Formule, portion, prix et conseil de préparation revérifiés."
"OstroVit","Protein Coffee","Pologne","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","Robusta naturel et whey","whey concentrée + isolate; café; caféine ajoutée; édulcorants","360 g; portion non extraite","non publié","7,40 € observé","oui via boutique européenne","programme public non identifié","https://ostrovit.com/en/products/ostrovit-protein-coffee-360-g-26688.html","B","Caféine totale et nombre de portions à extraire de l'étiquette.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Purasana","Mushroom Coffee","Belgique / Europe","sachets instantanés","Café aux champignons","2 — Cafés artificiellement enrichis","à confirmer","champignons fonctionnels à confirmer","6 sachets de 3 g selon fiche produit","non publié","prix non extrait","oui via revendeurs européens","programme public non identifié","https://purasana.com/","C","Produit découvert dans une fiche technique officielle de distributeur; page produit directe à retrouver.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle partielle ou produit non finalisé","café instantané","non publiée","6","3 g","à confirmer","à confirmer","non documenté","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","document technique officiel disponible","bien-être fonctionnel / champignons","P3 — veille / ne pas recommander encore","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"KŎVR","Mushroom Latte","Europe","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","base café annoncée","Lion's Mane 300 mg; Chaga 300 mg","portion non publiée","non publié","prix non extrait","à confirmer","programme public non identifié","https://kovrcoffee.com/","B","Marque récente; informations complémentaires à extraire.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Four Sigmatic","Focus Organic Coffee Latte / Think Coffee","États-Unis / international","instantané et café moulu","Café aux champignons","2 — Cafés artificiellement enrichis","Arabica bio","Lion's Mane; Chaga; selon formule autres superaliments","instant: 300 mg Lion's Mane + 200 mg Chaga sur latte original","50 mg instant; 105–125 mg cold brew moulu","prix non extrait","oui via certains revendeurs; livraison directe à confirmer","programme d'affiliation à rechercher","https://us.foursigmatic.com/products/focus-organic-coffee-latte-original","A","Marque pionnière; gamme et formules multiples.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café à préparer (goût café)","non publiée","non publié","non publié","50","125","élevée (> 100 mg)","Lion's Mane; Chaga","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"RYZE","Mushroom Coffee","États-Unis","poudre instantanée","Café aux champignons et prébiotiques","2 — Cafés artificiellement enrichis","café instantané bio mexicain","Cordyceps; Reishi; Turkey Tail; King Trumpet; Shiitake; Lion's Mane; fibres","30 portions; dose de chaque champignon non publiée","48 mg","27 $ promotion / 30; prix de référence 45 $","non, expédition US mise en avant","programme public non identifié","https://www.ryzesuperfoods.com/","A","Prix fortement promotionnel et abonnement à surveiller.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","48","48","faible (≤ 50 mg)","Lion's Mane; Reishi; Cordyceps; Turkey Tail; Shiitake; King Trumpet","6","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P1 — référence structurante","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Everyday Dose","Coffee+ Mild / Medium","États-Unis","poudre instantanée","Café collagène, champignons et nootropiques","2 — Cafés artificiellement enrichis","extrait de café bio Fairtrade","collagène bovin; L-théanine; Chaga; Lion's Mane","Mild: 7,3 g, 30 portions, 5 g protéines; Medium: 8,7 g, 30 portions, 4 g protéines","45 mg Mild; 90 mg Medium","29 $ starter / 30; 49 $ / 60; renouvellement annoncé 36 $","non, marché US","programme public non identifié","https://www.everydaydose.com/products/30-serving-bold-coffee","A","Chaga et Lion's Mane issus du corps fructifère; mélange propriétaire total 7 300 ou 8 700 mg selon version.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","45","90","modérée (51–100 mg)","Lion's Mane; Chaga","2","corps fructifère annoncé","non publiée","4 à 5 g","quantité incluse dans un mélange propriétaire","non publié","non publié","non publié","non végétalien (bovin)","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","tests tiers annoncés; rapports à archiver","beauté / collagène","P1 — référence structurante","moyen à élevé","non publiée","Deux niveaux de caféine, portions, protéines et poids de portion revérifiés."
"MUD\\WTR","Rise Cacao","États-Unis / Royaume-Uni","poudre instantanée","Alternative cacao-chai aux adaptogènes","3 — Pas vraiment du café, mais quand même","sans café","cacao; chai; Lion's Mane; Chaga; Reishi; Cordyceps; curcuma; cannelle","30 portions","environ 35 mg via cacao/thé","prix ponctuel non extrait; 150 $ pour 3 mois observé","version UK disponible; France à confirmer","programme public non identifié","https://mudwtr.com/pages/rise","A","Alternative et non café. L'utilisateur avait demandé de la retirer du site; conservée uniquement dans l'inventaire de marché.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","alternative au café / latte","non publiée","30","non publié","35","35","faible (≤ 50 mg)","Lion's Mane; Chaga; Reishi; Cordyceps","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","alternative au café","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Strong Coffee Company","Collagen Latte Vanilla","États-Unis","poudre instantanée","Café collagène multi-actifs","2 — Cafés artificiellement enrichis","Arabica instantané","15 g collagène; 5 g MCT; Lion's Mane 500 mg; NeuroFactor 100 mg; L-théanine 100 mg; prébiotiques","30 portions en kit; 15 g protéines","100 à 110 mg selon page","39,99 $ / 15 portions ou 60 $ / 30 kit selon offre","France à confirmer","programme public non identifié","https://strongcoffeecompany.com/products/vanilla-latte-starter-kit","B","Pages officielles montrent des tailles/offres différentes; formule très documentée.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","15 ou 30","non publié","100","110","élevée (> 100 mg)","Lion's Mane","1","non publiée","non publiée","15 g","15 g","non publié","5 g","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","2.67 $ / portion","partielle","non publiée","beauté / collagène","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Before You Speak","Collagen Coffee","Australie","sachets instantanés","Café collagène multi-actifs","2 — Cafés artificiellement enrichis","café colombien","collagène marin; MCT; silice; camu-camu; proline; biotine","30 portions","115 mg","69,95 AUD référence; 52,46 AUD promotion observée","France à confirmer","programme public non identifié","https://beforeyouspeakcoffee.com/products/collagen-coffee","A","Marque propose aussi Performance, Thermo et Period Coffee.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","Colombie","30","non publié","115","115","élevée (> 100 mg)","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","contient poisson","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Chike","High Protein Iced Coffee","États-Unis","poudre instantanée froide","Café protéiné","2 — Cafés artificiellement enrichis","espresso réel","whey isolate/concentrée","environ 29 g; 14 portions; 20 g protéines","150 mg","34,95 $ ponctuel; 29,95 $ abonnement","non, marché US","programme public non identifié","https://www.ilikechike.com/collections/protein-coffee","A","Nombreuses saveurs; forte teneur en caféine.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","14","non publié","150","150","élevée (> 100 mg)","non applicable","0","non applicable","non applicable","20 g","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","nutrition / apport protéique","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Javvy","Protein Coffee","États-Unis","poudre instantanée froide","Café protéiné avec MCT/prébiotiques","2 — Cafés artificiellement enrichis","café instantané réel","10 g whey; MCT; prébiotiques","portion non publiée; 10 g protéines","80 mg","34,95 $ un sac; dégressif jusqu'à 24,95 $","non, marché US","programme public non identifié","https://javvycoffee.com/products/javvy-protein-coffee","A","Très grand nombre de saveurs; prix promotionnel par bundle.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","80","80","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","10 g","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Super Coffee","Lean Iced Latte","États-Unis","bouteille prête à boire","RTD café protéiné et MCT","2 — Cafés artificiellement enrichis","café infusé","protéines de lait; MCT","12 fl oz; 10 g protéines","non publié sur page extraite","35,99 $ / 12 en promotion","non, marché US","programme public non identifié","https://www.drinksupercoffee.com/products/vanilla-super-coffee","B","Édulcoré au sucralose; distinguer des versions Protein+ et XXTRA.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","prêt à boire","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","10 g","non publié","non publié","non publié","sucralose","contient lait","prêt à consommer","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Super Coffee","XXTRA","États-Unis","bouteille prête à boire","RTD café, ginseng et vitamines","2 — Cafés artificiellement enrichis","café infusé","MCT; Panax ginseng; vitamines B; protéines laitières","15 fl oz; 7 g protéines","200 mg","39,99 $ / 12","non, marché US","programme public non identifié","https://www.drinksupercoffee.com/products/super-coffee-xxtra-vanilla","A","Formule très caféinée et distincte de Lean.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","prêt à boire","non publiée","non publié","non publié","200","200","élevée (> 100 mg)","non applicable","0","non applicable","non applicable","7 g","non publié","non publié","non publié","non publié","contient lait","prêt à consommer","non calculable avec les données publiques","partielle","non publiée","énergie / usage quotidien","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Taika","Black Coffee / Macadamia Latte","États-Unis","canette prête à boire","RTD café adaptogène","2 — Cafés artificiellement enrichis","cold brew single origin","L-théanine; KSM-66 Ashwagandha; Lion's Mane; selon latte Cordyceps/Reishi/MCT","canette individuelle","120 mg latte selon FAQ; 60 mg sur ancienne offre; noir non publié","48 $ le pack affiché; produit noir épuisé","non, marché US","programme public non identifié","https://taika.co/product/black-coffee/","B","La gamme et les teneurs ont évolué; vérifier par référence avant publication.","2026-08-01","épuisé lors du relevé","source officielle accessible et revérifiée","prêt à boire","non publiée","non publié","non publié","60","120","élevée (> 100 mg)","Lion's Mane; Reishi; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","prêt à consommer","non calculable avec les données publiques","faible","non publiée","énergie / usage quotidien","P3 — veille / ne pas recommander encore","moyen","non publiée","Page officielle indiquée SOLD OUT lors de la revérification."
"Optimal Human","Adaptogenic Mushroom Super Coffee","États-Unis","poudre instantanée","Café collagène et adaptogènes","2 — Cafés artificiellement enrichis","Arabica colombien","5 g collagène; Lion's Mane; Ashwagandha; L-théanine","315 g; portions non extraites","environ 75 mg","prix non extrait","non, marché US","programme public non identifié","https://optimalhuman.com/products/adaptogenic-mushroom-super-coffee","A","Dose des trois adaptogènes non publiée dans l'extrait.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","Colombie","non publié","non publié","75","75","modérée (51–100 mg)","Lion's Mane","1","non publiée","extrait; méthode non détaillée","non publié","5 g","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","beauté / collagène","P2 — comparatif secondaire","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Transparent Labs","Protein Coffee","États-Unis","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","Arabica réel","whey isolate grass-fed","25,8 g; 15 portions; 20 g protéines","170 mg","prix non extrait","non, marché US","programme public non identifié","https://www.transparentlabs.com/blogs/all/protein-coffee","A","Forte caféine; 80 kcal et moins de 1 g de sucre annoncés.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","15","non publié","170","170","élevée (> 100 mg)","non applicable","0","non applicable","non applicable","20 g","non publié","non publié","non publié","sucre présent","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","nutrition / apport protéique","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Canadian Protein","Protein Coffee","Canada","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","café spray-dried réel","whey concentrée","30 portions; 22 g protéines","62,5 mg","environ 2 CAD/portion","non, marché Canada","programme public non identifié","https://canadianprotein.com/products/protein-coffee","A","Fabriqué au Canada.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","62.5","62.5","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","22 g","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Eons","Smart Mushroom Coffee","États-Unis","poudre instantanée","Café multi-nootropiques à forte stimulation","2 — Cafés artificiellement enrichis","café colombien","Chaga; Lion's Mane; Cordyceps; L-théanine; Ashwagandha; Rhodiola; Bacopa; 5-HTP; yohimbine; Huperzia; autres","portion non publiée","180 mg","prix non extrait","non, marché US","programme public non identifié","https://eons.com/products/smart-mushroom-coffee","A","Formule très chargée et stimulante; évaluer sécurité et réglementation France avant toute mise en avant.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","Colombie","non publié","non publié","180","180","élevée (> 100 mg)","Lion's Mane; Chaga; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","focus / cognition","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"X Mushroom Coffee","X Mushroom Coffee","États-Unis","poudre instantanée","Café aux champignons avec MCT","2 — Cafés artificiellement enrichis","Arabica en poudre","Cordyceps; Lion's Mane; Reishi; Shiitake; Turkey Tail; King Trumpet; MCT; coco","portion non publiée","valeur non extraite","prix non extrait","non, expédition US uniquement annoncée","programme public non identifié","https://xmushroomcoffee.com/","B","Doses individuelles et caféine à compléter.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi; Cordyceps; Turkey Tail; Shiitake; King Trumpet","6","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Eightbillion","Brain & Mood Coffee","États-Unis","boisson/poudre à confirmer","Café aux adaptogènes et nootropiques","2 — Cafés artificiellement enrichis","café colombien bio","CognatiQ coffee berry; KSM-66 Ashwagandha; Reishi; Lion's Mane; Suntheanine","non publié","non publié","prix non extrait","non, marché US","programme public non identifié","https://eightbillion.com/","B","Présence d'extrait de fruit du café intéressante pour l'axe BDNF; formule exacte à relever.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","prêt à boire","Colombie","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi","2","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","prêt à consommer","non calculable avec les données publiques","faible","non publiée","focus / cognition","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Nueva","Nueva Morning","États-Unis","poudre/sachets à confirmer","Café nootropique multi-actifs","2 — Cafés artificiellement enrichis","café colombien","Cogni-Grape; Lion's Mane; Cordyceps; L-théanine; antioxydants","non publié","85 mg de caféine de thé vert annoncés","prix non extrait","non, marché US","programme public non identifié","https://www.nuevalife.com/shop/nueva-morning","B","Café plus caféine de thé vert; composition et format à détailler.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","à confirmer","Colombie","non publié","non publié","85","85","modérée (51–100 mg)","Lion's Mane; Cordyceps","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","focus / cognition","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Atlas+","Superblend Coffee / Latte","États-Unis","poudre instantanée","Café collagène tout-en-un","2 — Cafés artificiellement enrichis","extrait de cold brew Arabica","collagène bovin; probiotiques; Ashwagandha; L-théanine; Reishi; Lion's Mane; Chaga; Cordyceps; vitamines D/B12","portion non publiée; 20 à 50 kcal","environ 45 mg","prix courant non extrait; promotions jusqu'à -50 %","non, livraison US mise en avant","programme public non identifié","https://atlascoffeeclub.com/products/atlas-plus-superblend-latte","A","Source officielle alterne entre 3 et 4 champignons sur certaines pages; vérifier étiquette.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","45","45","faible (≤ 50 mg)","Lion's Mane; Chaga; Reishi; Cordyceps","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","non végétalien (bovin)","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Laird Superfood","Organic PERFORM Functional Mushroom Coffee","États-Unis","café moulu et K-Cups","Café moulu aux champignons","2 — Cafés artificiellement enrichis","café péruvien bio","Lion's Mane; Chaga; Cordyceps; Maitake","10 g; environ 500 mg mélange champignons","environ 100 mg pour 12 oz; 65–70 mg pour 8 oz","20 $ / 12 oz; K-Cups 15 $","non, marché US","programme public non identifié","https://lairdsuperfood.com/collections/all/products/perform-medium-roast-ground-mushroom-coffee","A","Vrai café moulu; extraits ajoutés aux grains moulus.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café en capsule","Pérou","non publié","non publié","65","100","modérée (51–100 mg)","Lion's Mane; Chaga; Cordyceps; Maitake","4","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","machine compatible avec la capsule","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
